Sentence, Prediction, Confidence, Actual
1',  (  select   (  case when   (  5154  =  5154  )   then 1 else 5154*  (  select 5154 from master..sysdatabases  )   end   )    ), 1, 1, 97.38%
linero-noro@cocheacoche.uy, 0, 0, 63.06%
ti20, 0, 0, 63.06%
07375030b, 0, 0, 63.06%
select   (  case when   (  9030  =  9185  )   then 9030 else 9030*  (  select 9030 from information_schema.character_sets  )   end  )  #, 1, 1, 99.23%
SELECT important, kill, whyFROM snow WHERE creature  IS NOT NULL, 0, 0, 99.86%
1%'   )    )     )   and sleep  (  5  )  #, 1, 1, 99.38%
5568410000000000, 0, 0, 63.06%
2399, 0, 0, 63.06%
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and 'fdgq'  =  'fdgq, 1, 1, 99.71%
7983170000000000, 0, 0, 63.06%
1" and elt  (  4594  =  1040,1040  ), 1, 1, 91.07%
SELECT * FROM there WHERE gate BETWEEN '1996-07-01' AND '1996-07-31', 0, 0, 100.00%
villazala, 0, 0, 63.06%
tabakov@wdsl.ly, 0, 0, 90.84%
belalczar, 0, 0, 63.06%
SELECT * FROM matter, 0, 0, 94.58%
SELECT * FROM consonant WHERE using LIKE '%book%', 0, 0, 98.18%
1'   )    )    as bbdf where 1327  =  1327, 1, 1, 58.80%
en9r195d9, 0, 0, 63.06%
SELECT MIN ( hung )  AS shaking FROM breakfast, 0, 0, 99.46%
datario, 0, 0, 63.06%
6660, 0, 0, 63.06%
1%' procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )   and '%'  =  ', 1, 1, 100.00%
SELECT * FROM direction 3 SELECT * FROM joy, 0, 0, 97.12%
SELECT * FROM nobody WHERE vertical IN  ( 'neighborhood', 'spent', 'opportunity' ), 0, 0, 98.99%
SELECT AVG ( manner ) FROM five SELECT SUM ( sister ), 0, 0, 99.97%
bose, 0, 0, 63.06%
1'  )   as hlbq where 2347  =  2347 and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --, 1, 1, 100.00%
SELECT DISTINCT children FROM were, 0, 0, 98.03%
SELECT t.*, tt.*, tr.object_id FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON t.term_id  =  tt.term_id INNER JOIN wp_term_relationships AS tr ON tr.term_taxonomy_id  =  tt.term_taxonomy_id WHERE tt.taxonomy IN  ( 'support_cat' )  AND tr.object_id IN  ( 262310, 262326, 262328 )  ORDER BY t.name ASC, 0, 0, 99.95%
SELECT workerID AS ID, mostly AS spin FROM room, 0, 0, 98.51%
63545647m, 0, 0, 63.06%
INSERT INTO little  ( air, slowly, movie )  VALUES  ( 'pressure', 'search', 'classroom' ), 0, 0, 99.92%
eldredge, 0, 0, 63.06%
SELECT COUNT ( impossibleID ) FROM belt, 0, 0, 93.80%
00033926r, 0, 0, 63.06%
bogarde4@tiendasyofertas.museum, 0, 0, 63.06%
budd9, 0, 0, 63.06%
66564863b, 0, 0, 63.06%
1%'  )   and   (  3020  =  3020  )  *6703 and   (  '%'  =  ', 1, 1, 99.81%
1"  )   as xylo where 2112  =  2112 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --, 1, 1, 100.00%
SELECT * FROM consonant WHERE follow IN  ( 'opinion', 'copy', 'lunch' ), 0, 0, 99.41%
SELECT * FROM entire WHERE    NOT sat = 'air', 0, 0, 99.66%
SELECT general,ourselves,farther FROM vowel LEFT JOIN Orders ON lift.continuedID =  cattle.trip ORDER BY bent.respect, 0, 0, 99.99%
INSERT INTO youth ( give, freedom, chosen, heavy, buried, how )  VALUES  ( 'blanket', 'satisfied'. whatever', 'half', 'yellow', 'exciting', 'signal' ), 0, 0, 99.98%
1'  )   where 6772  =  6772 and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )  --, 1, 1, 100.00%
1' procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  ), 1, 1, 100.00%
SELECT * FROM shells WHERE drop NOT LIKE '[grew]%', 0, 0, 99.05%
castell de rugat, 0, 0, 98.20%
siu-ling, 0, 0, 63.06%
bu7c2pi, 0, 0, 63.06%
SELECT LOWER ( "SQL Tutorial is FUN!" ) ;, 0, 0, 99.69%
203614000000000, 0, 0, 63.06%
SELECT * FROM cookies WHERE pack = 'share' LIMIT 3, 0, 0, 98.63%
SELECT TOP 3 * FROM belong WHERE old = 'closer' SELECT * FROM him, 0, 0, 99.87%
80, 1, 0, 75.02%
SELECT COUNT ( him ) FROM doing, 0, 0, 96.41%
SELECT COUNT ( whom ) FROM pattern, 0, 0, 95.66%
94lp90ulo, 0, 0, 63.06%
SELECT * FROM lonely ORDER BY correctly, meal, 0, 0, 98.63%
1"  )   where 1699  =  1699 or 4915  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --, 1, 1, 100.00%
SELECT attached ( s )  FROM particles UNION, 0, 0, 93.88%
1   )    )    rlike   (  select   (  case when   (  6113  =  1222  )   then 1 else 0x28 end   )    )    and    (    (   2815  =  2815, 1, 1, 100.00%
1"   )    )    or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --, 1, 1, 99.83%
SELECT pig, obtain, rising FROM according WHERE excited  IS NULL, 0, 0, 99.35%
1%"  )   or 1022  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --, 1, 1, 100.00%
1  )   where 3030  =  3030, 1, 1, 57.58%
1" where 6352  =  6352, 0, 1, 54.07%
frades, 0, 0, 63.06%
eu, 0, 0, 63.06%
-4798%'   )    )     )   union all select 3330,3330,3330#, 1, 1, 94.69%
1'||  (  select 'qjwf' from dual where 3187  =  3187 and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null   )    )   ||', 1, 1, 100.00%
SELECT * FROM typical, 0, 0, 94.36%
SELECT Employees.regular, COUNT ( Orders.mountainID )  AS flagFROM    ( OrdersINNER JOIN lips ON Orders.gladID  =  Employees.plusID ), 0, 0, 100.00%
pont de bar, el, 0, 0, 99.74%
1"   )    )     )   and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )   and    (    (     (  "staz" like "staz, 1, 1, 100.00%
1"   )    )    as ynuw where 9138  =  9138, 1, 1, 61.44%
